fia_id,parent_fia_id,layer_position,registered_derivation_id,authority,raw_derivation_payload_published
FIA-01,FIA-01,L01,FIA-01-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-01,FIA-01,L02,FIA-01-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-01,FIA-01,L03,FIA-01-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-01,FIA-01,L04,FIA-01-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-01,FIA-01,L05,FIA-01-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-01,FIA-01,L06,FIA-01-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-01,FIA-01,L07,FIA-01-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-02,FIA-02,L01,FIA-02-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-02,FIA-02,L02,FIA-02-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-02,FIA-02,L03,FIA-02-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-02,FIA-02,L04,FIA-02-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-02,FIA-02,L05,FIA-02-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-02,FIA-02,L06,FIA-02-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-02,FIA-02,L07,FIA-02-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-03,FIA-03,L01,FIA-03-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-03,FIA-03,L02,FIA-03-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-03,FIA-03,L03,FIA-03-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-03,FIA-03,L04,FIA-03-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-03,FIA-03,L05,FIA-03-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-03,FIA-03,L06,FIA-03-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-03,FIA-03,L07,FIA-03-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-04,FIA-04,L01,FIA-04-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-04,FIA-04,L02,FIA-04-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-04,FIA-04,L03,FIA-04-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-04,FIA-04,L04,FIA-04-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-04,FIA-04,L05,FIA-04-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-04,FIA-04,L06,FIA-04-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-04,FIA-04,L07,FIA-04-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-05,FIA-05,L01,FIA-05-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-05,FIA-05,L02,FIA-05-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-05,FIA-05,L03,FIA-05-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-05,FIA-05,L04,FIA-05-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-05,FIA-05,L05,FIA-05-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-05,FIA-05,L06,FIA-05-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-05,FIA-05,L07,FIA-05-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-06,FIA-06,L01,FIA-06-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-06,FIA-06,L02,FIA-06-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-06,FIA-06,L03,FIA-06-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-06,FIA-06,L04,FIA-06-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-06,FIA-06,L05,FIA-06-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-06,FIA-06,L06,FIA-06-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-06,FIA-06,L07,FIA-06-registered-derivation-07,ACTUAL_EVIDENCE,false
